Species name,C1 Q1,C1 Q2,C1 Q3,C1 Q4,C1 Q5,C1 Q6,C1 Q7,C1 Q8,C1 Q9,C1 Q10,C1 Q11,C1 Q12,F1 Q1,F1 Q2,F1 Q3,F1 Q4,F1 Q5,F1 Q6,F1 Q7,F1 Q8,F1 Q9,F1 Q10,F1 Q11,F1 Q12,I1 Q1,I1 Q2,I1 Q3,I1 Q4,I1 Q5,I1 Q6,I1 Q7,I1 Q8,I1 Q9,I1 Q10,I1 Q11,I1 Q12,J1 Q1,J1 Q2,J1 Q3,J1 Q4,J1 Q5,J1 Q6,J1 Q7,J1 Q8,J1 Q9,J1 Q10,J1 Q11,J1 Q12
Ajuga indacrifolia,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Archeranthes aspera,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,,,,,,,
Archeratum ponisides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Argeratum aspera,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,
Argeratum ponisides,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,
Argiratum p,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biden pilosa,2,2,2,1,1,0,1,0,0,0,2,1,1,2,2,2,0,2,1,2,2,3,0,1,1,1,0,0,2,1,1,0,2,2,0,0,2,2,0,0,0,0,1,4,1,0,0,1
Binding weed,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Brachiaria euriciformis,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
C. cuneifolia,0,0,0,0,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celylium tubulosum,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,0,0,0,0,0
Chrolis pycnotrix,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocle bar,2,2,0,0,2,2,1,1,0,1,3,2,1,0,2,3,2,2,3,3,2,3,2,2,1,2,2,4,3,2,1,2,3,3,0,2,2,2,3,3,4,3,4,4,4,1,2,3
Comelia b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Comelina b,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,1,1,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Coninsa stricta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Cynodon dactylon,4,4,4,3,4,3,4,5,5,5,5,4,5,5,3,3,5,5,5,5,4,5,4,4,4,4,5,4,2,2,4,4,4,5,2,3,4,4,4,4,5,6,5,5,5,5,5,5
Dicondra ripens,,,,,,,,,,,,,0,0,0,0,0,1,2,2,2,1,3,0,1,3,1,2,4,3,1,2,1,2,0,2,0,1,1,1,0,0,3,1,1,2,1,2
Discoriste radicans,0,1,0,0,2,2,1,0,0,0,1,3,3,2,4,1,3,4,4,3,3,4,3,4,2,3,3,3,5,5,3,3,4,4,0,3,3,4,1,3,0,2,3,2,2,2,0,5
Dracondra ripes,1,2,0,0,2,2,0,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engeron camandensis,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
Eragrostis esaspirata,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
Eragrostis namaquensis,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis t,2,2,2,2,3,3,3,0,0,0,2,2,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,2,3,2,4,0,3,3,0,3,0,0,3,4,0,0,4,5,4,2,4,4
Eurphobia heterophylla,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,0,1,2,3,2,1,2,1,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0
Fuestia africans,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycine whytii,3,3,4,4,3,1,0,0,3,4,3,3,0,0,0,0,0,0,3,3,0,1,2,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Gudenbergia,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
Gutenbergia,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Hyperestis,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Hypoestis,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Indigofera,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,3,0,1,2,2,3,3,3,0,3,0,3,2,3,1,0,2,3,2,3,3,1
Leonotis neptifolia,,,,,,,,,,,,,0,0,0,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Mexican marigold,3,0,0,0,0,0,1,0,0,1,2,1,,,,,,,,,,,,,1,1,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0
Milk weed,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Occinum gratisimum,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Panicum masaiensis,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,1,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,
Panicum maxima,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,3,0,1,1,2,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Penistum mezianum,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Psidia panculata,,,,,,,,,,,,,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
River bean,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Schkuria pinnata,,,,,,,,,,,,,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1
Sedge,0,1,2,2,2,2,0,0,1,1,2,2,0,2,2,0,2,2,3,0,3,4,3,1,1,3,3,1,3,2,2,0,3,1,1,2,3,4,2,3,4,0,3,3,3,2,3,3
Sickle grass,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sida alba,1,1,1,0,2,0,1,1,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
Solanum incanum,0,2,2,1,1,1,2,2,1,2,1,1,2,3,5,4,2,2,4,3,0,4,3,3,2,3,3,4,3,3,3,3,3,4,1,2,2,3,1,0,0,3,3,2,3,1,1,2
Sorghum vesicolor,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spear thistle,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,2,1,2,0,2,1,0,0,0,0,2,1,0,1,4,1,2,4,1,1,1,2,1
Species J,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sporobolus pyramides,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,4,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0
Taramnus,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Trifolium,2,0,0,0,2,2,0,0,0,0,3,2,0,0,0,0,2,2,0,0,0,1,2,0,1,1,1,0,2,2,1,0,0,1,0,0,0,0,0,0,3,2,2,2,2,2,2,3
